,TP_total_temperature,TP_total_pressure
536,"[101534.0082932183, 101534.0082932183, 500.2927321686629, 684.7768981523135, 1421.4282779087025, 1255.0548100514357, 1065.6222591776482, 857.5976862974957, 857.5976862974957]","[101534.0082932183, 101534.0082932183, 523211.66840542085, 1316656.9809489108, 1224490.9922824872, 674927.816921683, 308478.17275716655, 111723.45534730027, 111723.45534730027]"
537,"[101534.73151082612, 101534.73151082612, 500.29294976809524, 684.7767944617774, 1421.4258024081958, 1255.0526022242477, 1065.620368918172, 857.5960962802974, 857.5960962802974]","[101534.73151082612, 101534.73151082612, 523212.90443766647, 1316657.8216003831, 1224491.7740883564, 674928.191037383, 308478.322038524, 111723.46752130317, 111723.46752130317]"
538,"[101535.45576482925, 101535.45576482925, 500.2931676788416, 684.7766906242931, 1421.4233233768327, 1255.0503912480242, 1065.6184759626522, 857.5945039950466, 857.5945039950466]","[101535.45576482925, 101535.45576482925, 523214.142238232, 1316658.6634561808, 1224492.5570142483, 674928.5656892196, 308478.4715339207, 111723.47971275308, 111723.47971275308]"
539,"[101536.18105414124, 101536.18105414124, 500.2933859006566, 684.7765866401795, 1421.4208408189634, 1255.048177126644, 1065.6165803144095, 857.5929094444112, 857.5929094444112]","[101536.18105414124, 101536.18105414124, 523215.3818055079, 1316659.5065159302, 1224493.3410598151, 674928.940877098, 308478.62124335096, 111723.49192164437, 111723.49192164437]"
540,"[101536.90737767592, 101536.90737767592, 500.29360443239034, 684.7764825080646, 1421.4183547328735, 1255.0459598585837, 1065.614681972146, 857.5913126285168, 857.5913126285168]","[101536.90737767592, 101536.90737767592, 523216.6231350716, 1316660.350769615, 1224494.126215742, 674929.3165958566, 308478.7711644491, 111723.50414783243, 111723.50414783243]"
541,"[101537.63473434764, 101537.63473434764, 500.2938232748153, 684.7763782301705, 1421.4158651297344, 1255.0437394537998, 1065.6127809443776, 857.5897135528913, 857.5897135528913]","[101537.63473434764, 101537.63473434764, 523217.8662284814, 1316661.1962277156, 1224494.9124917756, 674929.6928511065, 308478.92129986547, 111723.51639146873, 111723.51639146873]"
542,"[101538.36312307126, 101538.36312307126, 500.29404242596297, 684.7762738035929, 1421.4133720023358, 1255.0415159058723, 1065.6108772256214, 857.5881122153545, 857.5881122153545]","[101538.36312307126, 101538.36312307126, 523219.1110787679, 1316662.0428714806, 1224495.699870477, 674930.0696330951, 308479.07164509763, 111723.52865228194, 111723.52865228194]"
543,"[101539.09254276205, 101539.09254276205, 500.2942618871704, 684.7761692316096, 1421.4108753656317, 1255.039289228128, 1065.6089708272739, 857.5865086230203, 857.5865086230203]","[101539.09254276205, 101539.09254276205, 523220.3576892473, 1316662.8907174128, 1224496.488367194, 674930.446950598, 308479.2222042689, 111723.54093051101, 111723.54093051101]"
544,"[101539.82299233568, 101539.82299233568, 500.2944816574306, 684.7760645131141, 1421.4083752188521, 1255.0370594198837, 1065.6070617487555, 857.5849027764084, 857.5849027764084]","[101539.82299233568, 101539.82299233568, 523221.60605594167, 1316663.739757011, 1224497.2779740202, 674930.8247992483, 308479.3729753833, 111723.5532260328, 111723.5532260328]"
545,"[101540.55447070823, 101540.55447070823, 500.29470173638543, 684.775959648213, 1421.4058715655817, 1255.034826484338, 1065.6051499928058, 857.5832946778639, 857.5832946778639]","[101540.55447070823, 101540.55447070823, 523222.85617689433, 1316664.5899886994, 1224498.0686894904, 674931.203178323, 308479.523958143, 111723.56553882457, 111723.56553882457]"
