Altitude,FR,F_prop,Mach,Ratio,eta
5172.413793,625.1889887,10458.4257,0.3,0.059778499,0.8
6034.482759,622.6982324,10332.27559,0.3,0.060267288,0.8
6896.551724,620.110165,10206.23413,0.3,0.06075798,0.8
7758.62069,617.427838,10080.32182,0.3,0.061250806,0.8
8620.689655,614.65431,9954.559326,0.3,0.061746009,0.8
9482.758621,611.4320415,9824.721758,0.3,0.062234031,0.8
10344.82759,608.4442988,9698.869517,0.3,0.062733528,0.8
11206.89655,605.3692424,9573.174678,0.3,0.063235997,0.8
12068.96552,602.2092433,9447.651423,0.3,0.063741687,0.8
12931.03448,598.9665989,9322.313263,0.3,0.064250855,0.8
13793.10345,595.6435283,9197.172964,0.3,0.064763763,0.8
14655.17241,592.2421606,9072.242408,0.3,0.065280681,0.8
15517.24138,588.7645255,8947.532461,0.3,0.065801888,0.8
16379.31034,585.2125381,8823.052798,0.3,0.06632767,0.8
17241.37931,581.5879796,8698.811667,0.3,0.066858325,0.8
18103.44828,578.0841888,8579.185266,0.3,0.067382178,0.8
18965.51724,574.3565901,8456.121767,0.3,0.067921987,0.8
19827.58621,570.5687195,8333.432982,0.3,0.068467428,0.8
20689.65517,566.7234128,8211.143215,0.3,0.06901882,0.8
21551.72414,562.8236619,8089.278934,0.3,0.069576493,0.8
22413.7931,558.54565,7964.415076,0.3,0.070130153,0.8
23275.86207,554.4615326,7842.626887,0.3,0.070698446,0.8
24137.93103,550.326925,7721.310046,0.3,0.071273776,0.8
25000,546.1296345,7600.339074,0.3,0.071855957,0.8
0,339.7986753,7948.764197,0.4,0.042748617,0.8
862.0689655,353.9800678,7968.089405,0.4,0.044424711,0.8
1724.137931,368.0745592,7987.407158,0.4,0.046081858,0.8
2586.206897,382.0893826,8006.701685,0.4,0.047721196,0.8
3448.275862,396.0317436,8025.95613,0.4,0.049343871,0.8
4310.344828,410.1243451,8045.123974,0.4,0.050978002,0.8
5172.413793,423.9771394,8064.223294,0.4,0.052575074,0.8
6034.482759,437.7849285,8083.217675,0.4,0.054159735,0.8
6896.551724,451.5558997,8102.08333,0.4,0.055733307,0.8
7758.62069,459.615942,8064.2138,0.4,0.056994513,0.8
8620.689655,461.2929072,7964.346477,0.4,0.057919744,0.8
9482.758621,462.7783216,7864.6313,0.4,0.058842977,0.8
10344.82759,464.0762971,7765.077662,0.4,0.05976454,0.8
11206.89655,465.1908581,7665.694415,0.4,0.060684764,0.8
12068.96552,466.1259334,7566.489784,0.4,0.061603986,0.8
12931.03448,466.8853503,7467.471295,0.4,0.06252255,0.8
13793.10345,467.4728213,7368.645623,0.4,0.063440807,0.8
14655.17241,467.8919357,7270.018495,0.4,0.064359112,0.8
15517.24138,468.4787663,7174.709163,0.4,0.065295855,0.8
16379.31034,468.3882822,7077.069082,0.4,0.066183935,0.8
17241.37931,468.3543346,6979.624285,0.4,0.067103087,0.8
18103.44828,468.1717974,6882.486714,0.4,0.06802364,0.8
18965.51724,467.844958,6785.673668,0.4,0.068945985,0.8
19827.58621,467.3782185,6689.204099,0.4,0.069870527,0.8
20689.65517,466.7761462,6593.099105,0.4,0.070797684,0.8
21551.72414,465.6426353,6493.813711,0.4,0.071705573,0.8
22413.7931,464.6974817,6397.771471,0.4,0.072634273,0.8
23275.86207,463.6110326,6302.001751,0.4,0.073565678,0.8
24137.93103,462.6333926,6206.395355,0.4,0.074541399,0.8
25000,461.7021691,6114.483654,0.4,0.075509593,0.8
0,695.9494721,12880.18371,0.2,0.054032573,0.7
862.0689655,699.5270948,12884.20283,0.2,0.054293394,0.7
1724.137931,703.2577083,12888.49377,0.2,0.054564771,0.7
2586.206897,707.0333258,12891.23171,0.2,0.054846065,0.7
3448.275862,706.8181009,12828.88796,0.2,0.05509582,0.7
4310.344828,700.4122696,12668.57217,0.2,0.055287388,0.7
5172.413793,694.0053211,12508.37777,0.2,0.05548324,0.7
6034.482759,687.5984074,12348.33394,0.2,0.055683496,0.7
6896.551724,681.1926763,12188.46989,0.2,0.055888285,0.7
7758.62069,674.7892739,12028.81491,0.2,0.056097735,0.7
8620.689655,668.3893484,11869.39838,0.2,0.056311982,0.7
9482.758621,661.9940535,11710.24986,0.2,0.056531164,0.7
10344.82759,655.720489,11551.49482,0.2,0.05676499,0.7
11206.89655,649.0007984,11387.81067,0.2,0.056990831,0.7
12068.96552,642.5992588,11229.10771,0.2,0.057226208,0.7
12931.03448,636.2643192,11071.62036,0.2,0.05746804,0.7
13793.10345,629.8665907,10913.46258,0.2,0.057714642,0.7
14655.17241,623.4761886,10755.67989,0.2,0.057967157,0.7
15517.24138,617.0935927,10598.29186,0.2,0.058225759,0.7
16379.31034,610.7191964,10441.31696,0.2,0.058490629,0.7
17241.37931,604.3532952,10284.77242,0.2,0.058761951,0.7
18103.44828,597.9960646,10128.67392,0.2,0.059039917,0.7
18965.51724,591.9662848,9977.452512,0.2,0.059330404,0.7
19827.58621,585.6794253,9822.978802,0.2,0.059623403,0.7
20689.65517,579.4109056,9669.111118,0.2,0.059923906,0.7
21551.72414,573.1623073,9515.881203,0.2,0.060232184,0.7
22413.7931,566.9354244,9363.322913,0.2,0.060548529,0.7
23275.86207,560.7323298,9211.472887,0.2,0.060873254,0.7
24137.93103,554.0891252,9056.075659,0.2,0.061184242,0.7
25000,547.8463457,8904.839027,0.2,0.061522319,0.7
0,475.5584455,9126.350452,0.3,0.052108282,0.7
862.0689655,483.8950639,9144.014035,0.3,0.052919326,0.7
1724.137931,492.2272695,9161.560196,0.3,0.05372745,0.7
2586.206897,500.5906258,9179.361811,0.3,0.05453436,0.7
3448.275862,508.8991085,9196.222085,0.3,0.055337845,0.7
4310.344828,517.2860875,9213.763461,0.3,0.056142757,0.7
5172.413793,523.2109174,9199.935504,0.3,0.056871151,0.7
6034.482759,521.4159681,9089.711411,0.3,0.057363314,0.7
6896.551724,519.523475,8979.579705,0.3,0.057856102,0.7
7758.62069,517.5362163,8869.558139,0.3,0.058349718,0.7
