,mass,true_airspeed,altitude,ground_distance,fuel_mass,time,DISA,engine_setting,mach,equivalent_airspeed,CL,CD,drag,thrust_rate,EM_power_rate,TP_power_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,thermo_power,shaft_power,power_rate,EMshaft_power,FC_power,FC_stack_power,H2_fc,BAT_ec,BAT_power,slope_angle,acceleration,CT,TP_thermal_efficiency,TP_air_flow,FC_efficiency,FC_airflow,V_cell,V_stack,V_pack,V_core,I_cell,I_stack,I_pack,I_core,name,ceiling,max_mach,delta_time,BAT_energy
2897,22923.586558131097,131.97472846898756,536.3725683538637,368889.3017939912,630.0262522404419,2683.4633719501735,0.0,3,0.3901918841441682,128.60000000217985,0.3704534333784444,0.031003092348983425,18813.718100333055,0.2994619015548632,0.0,0.2938050648109659,True,1.610077637751631e-07,7043.029646624157,1056686.8415622471,3596557.6095228964,1056686.8415622471,0.2630827052142705,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2898,22923.246288560356,131.88618881741118,522.558521125209,369152.8895173719,630.3666946835808,2685.4633719501735,0.0,3,0.38986862769842934,128.60000000217985,0.37044793449935604,0.031002979371428922,18813.649541757084,0.29936047811916633,0.0,0.29370295625643955,True,1.6119526070198247e-07,7043.135807963732,1055993.9593023036,3595448.860175205,1055993.9593023036,0.2629827937233965,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2899,22922.905846117217,131.79779576432554,508.7537415112157,369416.3004041305,630.7073095599503,2687.4633719501735,0.0,3,0.3895459573415622,128.60000000217985,0.3704424328265873,0.031002866338328987,18813.580949474283,0.29926016653624404,0.0,0.29360196621241724,True,1.6138261827762865e-07,7043.242024362131,1055302.2376408984,3594329.5995415812,1055302.2376408984,0.2628838044991147,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2900,22922.56523124085,131.70954892287912,494.9582141671393,369679.5347470621,631.0480964289475,2689.4633719501735,0.0,3,0.3892238714348975,128.60000000217985,0.3704369283672353,0.031002753249832267,18813.512323574847,0.29916096597341574,0.0,0.2935020938388888,True,1.6156983540074536e-07,7043.348295684046,1054611.6734968347,3593199.8293536515,1054611.6734968347,0.2627857366541067,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2901,22922.224444371852,131.621447907621,481.17192378872795,369942.5928381893,631.3890548485338,2691.4633719501735,0.0,3,0.3889023683459556,128.60000000217985,0.3704314211284204,0.031002640106087852,18813.443664149254,0.2990628756179939,0.0,0.2934033383159846,True,1.6175691096844962e-07,7043.454621793719,1053922.263799984,3592059.551363893,1053922.263799984,0.26268858931610445,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2902,22921.883485952265,131.53349233449418,467.3948551120756,370205.4749687647,631.7301843752347,2693.4633719501735,0.0,3,0.3885814464484163,128.60000000217985,0.37042591111728623,0.03100252690724532,18813.374971288267,0.2989658946772865,0.0,0.29330569884397856,True,1.6194384387629203e-07,7043.561002554936,1053234.0054912341,3590908.767345475,1053234.0054912341,0.2625923616278842,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,2.0,853006222.640445
2903,22921.630885653904,131.4684619420184,457.2000000000008,370400.0043926698,631.9828782738068,2694.944336091885,0.0,3,0.3883442036586182,128.60000000217985,0.37042182900528475,0.03100244304466515,18813.32408065696,0.29889480312356365,0.0,0.29323412396763693,True,1.6208215961135678e-07,7043.63981586013,1052725.148605068,3590049.938121298,1052725.148605068,0.26252170542750597,0.0,0.0,0.0,0.0,0.0,0.0,-0.05235987755982989,0.0,,,,,,,,,,,,,,descent,,,1.4809641417114108,853006222.640445
2904,22921.630885653904,89.40627820356717,457.2000000000008,370400.0043926698,0.6946952367223727,2694.944336091885,0.0,2,0.3883442036586182,87.45555555555556,0.8009468598850169,0.04552120932159733,12775.45210767336,1.0,0.0,1.0,False,9.67528653773981e-08,23565.614866004467,3590049.938121298,3590049.938121298,3590049.938121298,0.8952631497160932,0.0,0.0,0.0,0.0,0.0,0.0,0.048002273312180974,0.0,,,,,,,,,,,,,,descent,9116.244856858977,,2.0,0.0
2905,22920.936190417182,89.44349592376078,465.78011324271336,370578.61097705463,1.3932020257639375,2696.944336091885,0.0,2,0.26423265044240296,87.45555555555556,0.800922585261138,0.045520070344920574,12775.13245575281,1.0,0.0,1.0,False,9.693811838379327e-08,33125.63876358194,3602848.91375788,3610461.108779919,3602848.91375788,0.8955963773425277,0.0,0.0,0.0,0.0,0.0,0.0,0.09053618513662144,0.0,,,,,,,,,,,,,,diversion climb,9116.244856858977,,2.0,0.0
2906,22920.23768362814,89.5137137803592,481.9537425708973,370756.76531903545,2.091224462476747,2698.944336091885,0.0,2,0.26448885184184345,87.45555555555556,0.8008981774508004,0.04551892515571568,12774.811060296504,1.0,0.0,1.0,False,9.687090042096037e-08,33101.28557559821,3602848.91375788,3611293.160275231,3602848.91375788,0.8955963773425277,0.0,0.0,0.0,0.0,0.0,0.0,0.09043202737265343,0.0,,,,,,,,,,,,,,diversion climb,9116.244856858977,,2.0,0.0
