,Unnamed: 0,mass,true_airspeed,altitude,ground_distance,alpha,time,engine_setting,mach,equivalent_airspeed,thrust_rate,thrust_is_regulated,psfc,thrust,TPshaft_power,TP_power_rate,thermo_power,TP_thermal_efficiency,TP_residual_thrust,TP_air_flow,CT,CL,CD,drag,slope_angle,acceleration,name,delta_time,fuel_mass,max_mach,EI_NOx,NOx_delta,NOx
2915,2915,21910.02271804762,109.28315680307374,4397.491626202213,63494.91213849022,,672.1421588687684,2,0.3383626999787198,87.49999999999999,1.0,False,8.415190901640766e-08,23292.454759791704,2814587.801819433,0.9998844312789456,2814913.117728329,0.2991586737496783,1595.3668698477322,5.335407519045071,0.2427446245094406,0.7648208452248554,0.04386632235281415,12323.526775783015,0.05105058013046945,0.0,climb,2.0,178.38540226369832,,0.0029670639660622712,0.0014055156269871818,0.5948558866498447
2916,2916,21909.549012174386,109.3481341683468,4408.6447173755105,63713.193704364785,,674.1421588687684,2,0.3386111722037451,87.49999999999999,1.0,False,8.413135028322974e-08,23266.727910927002,2812896.573717916,0.9998839630641024,2813223.0114961667,0.2992443009475558,1594.3887822518845,5.330513919098361,0.24276493774274385,0.7648043094078453,0.04386558324780061,12323.319136301612,0.050932912158665,0.0,climb,2.0,178.8587078376062,,0.0029650431186783576,0.0014033714349476684,0.5962592580847923
2917,2917,21909.07570660048,109.41305710022405,4419.7787398339815,63931.60636729506,,676.1421588687684,2,0.3388594709281641,87.49999999999999,1.0,False,8.411083739411737e-08,23241.0649132893,2811208.6363256862,0.9998834910760066,2811536.205383744,0.2993298015057789,1593.4130031891557,5.32563245739263,0.2427852098203537,0.7647877875642236,0.04386484478413098,12323.111676995308,0.05081553451490315,0.0,climb,2.0,179.33161406258807,,0.002963027100784252,0.0014012339607508543,0.5976604920455432
2918,2918,21908.602800375495,109.47792553183207,4430.89372079975,64150.15001386067,,678.1421588687684,2,0.33910759579333805,87.49999999999999,1.0,False,8.404382691671824e-08,23226.44806613968,2812053.2981669568,1.000333190335303,2811116.6612640144,0.29959759845443457,1595.1006261193734,5.321661601732921,0.2429203040718857,0.7647712796608156,0.04386410696027999,12322.90439743559,0.0507495633528024,0.0,climb,2.0,179.80428550393154,,0.0029624740594426813,0.001400276883619398,0.5990607689291626
2919,2919,21908.13012893415,109.54280471784679,4442.000865426287,64368.82396304818,,680.1421588687684,2,0.3393557963508824,87.49999999999999,1.0,False,8.402306200421575e-08,23200.956688759437,2810387.1562864827,1.0003359968918266,2809443.192106171,0.2996843288802084,1594.1479452945466,5.316805403725644,0.2429413851322257,0.7647547799530818,0.043863369519460696,12322.69722548238,0.05063297268366128,0.0,climb,2.0,180.27656017250854,,0.0029604755138017674,0.001398157592111055,0.6004589265212736
2920,2920,21907.65785426557,109.6076297292309,4453.089081880528,64587.62879781577,,682.1421588687684,2,0.3396038241592127,87.49999999999999,1.0,False,8.400234059094254e-08,23175.528947653253,2808724.3777443888,1.0003388207220218,2807773.0460536517,0.2997709428726879,1593.1976769533767,5.311961261118699,0.2429624312282412,0.7647382940956347,0.04386263271436782,12322.490232126118,0.05051667143936769,0.0,climb,2.0,180.7484390161193,,0.0029584818105580506,0.0013960449756096219,0.6018549714968833
2921,2921,21907.185975421962,109.6724005031147,4464.15839768761,64806.564405305755,,684.1421588687684,2,0.3398516788756876,87.49999999999999,1.0,False,8.398166257311514e-08,23150.164672943807,2807064.9568619854,1.0003416619666798,2806106.217093141,0.29985744056141417,1592.2498155027229,5.307129141080639,0.2429834424694721,0.7647218220553881,0.043861896543480605,12322.28341693958,0.050400658858398416,0.0,climb,2.0,181.2199229801753,,0.00295649293748695,0.001393939009869932,0.6032489105067532
2922,2922,21906.714491457908,109.73711697698322,4475.208840350894,65025.63067255246,,686.1421588687684,2,0.34009936015905634,87.49999999999999,1.0,False,8.396870191587378e-08,23124.863695220858,2804299.004137141,0.9999487616265998,2804442.6992193433,0.2999133791354338,1590.4521546041335,5.301521798487969,0.2430044189651435,0.7647053637993406,0.04386116100528231,12322.07677949666,0.05028493418127663,0.0,climb,2.0,181.6908696744981,,0.002953230707082666,0.001390814239073098,0.6046397247458263
2923,2923,21906.243544763583,109.80177908867584,4486.2404373519175,65244.82748648298,,688.1421588687684,2,0.3403468676694586,87.49999999999999,1.0,False,8.394815952498513e-08,23099.62584554,2802638.964457424,0.9999487930375488,2802782.486434965,0.29999942638110283,1589.503206364872,5.2967084758909975,0.24302536082416396,0.764688924297956,0.043860426321859235,12321.870382188878,0.05016949602990088,0.0,climb,2.0,182.16142244025647,,0.0029512429474960675,0.0013887155313692008,0.6060284402771955
2924,2924,21905.772991997826,109.8663867755872,4497.253216014211,65464.15473392452,,690.1421588687684,2,0.3405942010653667,87.49999999999999,1.0,False,8.392766049431272e-08,23074.4509557328,2800982.2232826226,0.9999488243261888,2801125.5727712386,0.30008535633322586,1588.5566124852035,5.2919070485516695,0.2430462681548718,0.7646724985475742,0.04385969226954796,12321.664162181643,0.05005434426844695,0.0,climb,2.0,182.631582210429,,0.0029492599318880286,0.0013866233717555244,0.607415063648951
2925,2925,21905.30283222765,109.93093997626009,4508.247203775039,65683.6123015899,,692.1421588687684,2,0.3408413600096831,87.49999999999999,1.0,False,8.390720472376911e-08,23049.33885778377,2799328.774541711,0.9999488554599776,2799471.9522470147,0.3001711691086505,1587.6123670842026,5.287117483736633,0.2430671410655504,0.7646560865156271,0.04385895884685147,12321.4581190544,0.04993947814353722,0.0,climb,2.0,183.10134991557823,,0.002947281647681046,0.0013845377360595472,0.6087996013850105
